record_id,scope,institution_id,gc_orgID,institution_name_en,institution_name_fr,bank_number_key,pib_type,title_en,title_fr,source_url_en,source_url_fr,category_ids,category_count,category_max_confidence,category_ambiguous,category_unclassified,unmapped_concepts,interaction_topic_codes,interaction_topic_max_confidence,individual_role_codes,service_action_codes,question_codes,question_count,candidate_question_codes,candidate_question_count,time_follow_up_required,privacy_caveat_codes,retention_rule_type,retention_reference_events,retention_minimum_years,retention_maximum_years,retention_disposition,retention_confidence,retention_language_agreement,retention_requires_institution_contact,retention_requires_schedule_lookup,retention_has_indefinite_component,retention_has_immediate_disposal,retention_is_under_review,retention_text_en,retention_text_fr
standard:PSU 901,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 901,Public Standard Bank,Access to Information Act and Privacy Act Requests,Demandes en vertu de la Loi sur l’accès à l’information et de la Loi sur la protection des renseignements personnels,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu901,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou901,PI_CAT-3|PI_CAT-6|PI_CAT-17|PI_CAT-25,4,1.00,true,false,,access_privacy|communications_engagement|complaints_appeals_legal|justice_public_safety,0.99,representative_guardian,requested_information_privacy,q_access_privacy,1,q_access_privacy|q_civic_contact|q_complaint_appeal|q_justice_safety,4,true,historical_or_ended_bank|possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 931,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 931,Public Standard Bank,Accounts Payable,Comptes créditeurs,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu931,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou931,PI_CAT-3|PI_CAT-10|PI_CAT-13|PI_CAT-17|PI_CAT-19|PI_CAT-24|PI_CAT-25,7,1.00,false,false,,access_privacy|business_regulation|contracts_procurement|education_training|government_employment|grants_contributions|payments_debt|tax_customs_duties|travel_border,0.99,contractor_supplier|member_general_public|program_applicant_recipient|representative_guardian,received_money_support|worked_for_government,q_government_work|q_money_programs,2,q_access_privacy|q_business_supplier|q_education_training|q_government_work|q_money_programs|q_tax_customs|q_travel_border,7,true,broad_population|possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs commun s par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 932,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 932,Public Standard Bank,Accounts Receivable,Comptes débiteurs,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu932,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou932,PI_CAT-3|PI_CAT-6|PI_CAT-10|PI_CAT-13|PI_CAT-14|PI_CAT-17|PI_CAT-19|PI_CAT-24|PI_CAT-25,9,1.00,true,false,,access_privacy|business_regulation|contracts_procurement|payments_debt|tax_customs_duties,0.99,contractor_supplier|member_general_public|representative_guardian,owed_or_paid_money,q_money_programs,1,q_access_privacy|q_business_supplier|q_money_programs|q_tax_customs,4,true,broad_population|possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 940,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 940,Public Standard Bank,Acquisition Cards,Cartes d’achat,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu940,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou940,PI_CAT-3|PI_CAT-5|PI_CAT-10|PI_CAT-15|PI_CAT-17,5,1.00,false,false,,access_privacy|business_regulation|contracts_procurement|justice_public_safety|payments_debt|transport_licensing|travel_border,0.99,,received_money_support,q_business_supplier|q_money_programs,2,q_access_privacy|q_business_supplier|q_justice_safety|q_money_programs|q_travel_border,5,true,possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de dossiers administratifs courants par une institution fédérale, y compris la destruction finale de ces dossiers, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 911,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 911,Public Standard Bank,Applications for Employment,Demandes d’emploi,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu911,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou911,PI_CAT-1|PI_CAT-3|PI_CAT-8|PI_CAT-10|PI_CAT-11|PI_CAT-14|PI_CAT-15|PI_CAT-16|PI_CAT-17,9,1.00,false,false,,communications_engagement|democratic_civic|government_employment|health_disability|immigration_citizenship,0.96,government_employee|job_applicant,worked_for_government,,0,q_civic_contact|q_government_work|q_health_disability|q_immigration,4,false,possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 903,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 903,Employee Standard Bank,Attendance and Leave,Présences et congés,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse903,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe903,PI_CAT-10|PI_CAT-12|PI_CAT-16,3,1.00,false,false,,business_regulation|communications_engagement|government_employment,0.86,government_employee,worked_for_government,q_government_work,1,q_business_supplier|q_civic_contact|q_government_work,3,true,possible_sharing,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 904,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 904,Public Standard Bank,"Automated Document, Records, and Information Management Systems","Systèmes automatisés de gestion des documents, des dossiers et de l’information",https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu904,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou904,,0,,true,true,,,,,,,0,,0,false,historical_or_ended_bank,unknown,,,,unknown,low,not_comparable,false,false,false,false,false,,
standard:PSU 903,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 903,Public Standard Bank,Business Continuity Planning,Planification de la continuité des activités,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu903,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou903,PI_CAT-1|PI_CAT-3|PI_CAT-12|PI_CAT-16|PI_CAT-17,5,1.00,false,false,,access_privacy|emergency_assistance|government_employment|health_disability|justice_public_safety,0.99,contractor_supplier|government_employee,worked_for_government,q_emergency,1,q_access_privacy|q_business_supplier|q_emergency|q_government_work|q_health_disability|q_justice_safety,6,true,possible_sharing|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSU 933,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSU 933,Public Standard Bank,Canadian Human Rights Act - Complaints,Plaintes déposées en vertu de la Loi canadienne sur les droits de la personne,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu933,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou933,PI_CAT-1|PI_CAT-3|PI_CAT-7|PI_CAT-10|PI_CAT-11|PI_CAT-12|PI_CAT-16|PI_CAT-17|PI_CAT-18|PI_CAT-19|PI_CAT-21|PI_CAT-24,12,1.00,true,false,education,business_regulation|complaints_appeals_legal|government_employment|health_disability|justice_public_safety,0.99,complainant_appellant|representative_guardian|victim_witness,,q_complaint_appeal,1,q_business_supplier|q_complaint_appeal|q_government_work|q_health_disability|q_justice_safety,5,true,possible_sharing|possible_third_party_information|sensitive_context,institution_defined,unspecified_start,,,unknown,low,no_numeric_periods,true,false,false,false,false,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels."
standard:PSE 911,standard,,,Government of Canada institutions,Institutions du gouvernement du Canada,PSE 911,Employee Standard Bank,Discipline,Mesures disciplinaires,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse911,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe911,PI_CAT-1|PI_CAT-3|PI_CAT-8|PI_CAT-10|PI_CAT-12|PI_CAT-13|PI_CAT-16|PI_CAT-17|PI_CAT-18|PI_CAT-24,10,1.00,false,false,,access_privacy|business_regulation|complaints_appeals_legal|government_employment|health_disability|justice_public_safety,0.96,government_employee|representative_guardian|victim_witness,worked_for_government,q_government_work,1,q_access_privacy|q_business_supplier|q_complaint_appeal|q_government_work|q_health_disability|q_justice_safety,6,true,possible_sharing|possible_third_party_information|sensitive_context,minimum_period,unspecified_start,2.0,,destroy,medium,consistent,true,false,false,false,false,"(1) For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator. (2) Documentation concerning a specific employee including documentation related to disciplinary action - the time limit for disposal is that specified in applicable collective agreements or a minimum of two years following the date of disciplinary action, provided no further disciplinary action has been recorded in the meantime. (3) In cases where a disciplinary action has been rescinded, the onus is on the institution to ensure that the documentation of the action concerned is immediately destroyed.","(1) Pour obtenir de plus amples renseignements sur la durée de conservation d’un type précis de documents administratifs communs par une institution fédérale, y compris sur la suppression de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels de l’institution. (2) La documentation concernant un employé particulier, y compris celle liée à une mesure disciplinaire : le calendrier de suppression est celui indiqué dans les conventions collectives applicables ou au moins deux ans après la date de la mesure disciplinaire, en autant qu’aucune autre mesure disciplinaire n’ait été consignée dans l’intervalle. (3) Dans les cas où une mesure disciplinaire a été annulée, il incombe à l’institution de s’assurer que la documentation sur la mesure concernée soit immédiatement supprimée."
